module,sourceLine,snippet
02-state-save-cloud-account.js,669,"window.addEventListener('otthos:rtdb-ready',ready,{once:true});"
02-state-save-cloud-account.js,746,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado com sucesso.','good',2600);if(typeof onReady==='function')onReady();else if(!creating)setTimeout(()=>location.reload(),550);}catch(e){showError(e.message||'Não foi possível concluir.');}};"
02-state-save-cloud-account.js,747,"$('[data-account-back]',root).onclick=()=>openAccountCenter(required,onReady);setTimeout(()=>user.focus(),80);"
02-state-save-cloud-account.js,753,"$('[data-account-create]',root)?.addEventListener('click',()=>openAccountForm('create',required,onReady));$('[data-account-login]',root)?.addEventListener('click',()=>openAccountForm('login',required,onReady));"
02-state-save-cloud-account.js,754,"$('[data-account-sync]',root)?.addEventListener('click',async e=>{e.currentTarget.disabled=true;e.currentTarget.textContent='Sincronizando...';const ok=await syncGameAccount(true);closeModal();toast(ok?'Progresso sincronizado.':'Sem conexão agora; a cópia local foi preservada.',ok?'good':'warn',2400);});"
02-state-save-cloud-account.js,755,"$('[data-account-logout]',root)?.addEventListener('click',()=>openAccountLogoutGate(required,onReady));"
02-state-save-cloud-account.js,756,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
02-state-save-cloud-account.js,763,"button.onclick=submit;$('[data-account-logout-back]',root).onclick=()=>openAccountCenter(required,onReady);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();submit();}};setTimeout(()=>input.focus(),80);"
03-ui-modal-install-pwa.js,855,"$('[data-yes]', root).onclick = () => { closeModal(); resolve(true); };"
03-ui-modal-install-pwa.js,856,"$('[data-no]', root).onclick = () => { closeModal(); resolve(false); };"
03-ui-modal-install-pwa.js,860,els.modalClose.onclick = closeModal;
03-ui-modal-install-pwa.js,861,"els.modal.addEventListener('pointerdown', e => { if (e.target === els.modal) closeModal(); });"
03-ui-modal-install-pwa.js,882,"window.addEventListener('beforeinstallprompt', event => {"
03-ui-modal-install-pwa.js,887,"window.addEventListener('appinstalled', () => {"
03-ui-modal-install-pwa.js,908,if (els.installBtn) els.installBtn.onclick = installApp;
03-ui-modal-install-pwa.js,975,"navigator.serviceWorker.addEventListener('controllerchange', () => {"
03-ui-modal-install-pwa.js,987,"registration.addEventListener('updatefound', () => {"
03-ui-modal-install-pwa.js,990,"worker.addEventListener('statechange', () => {"
03-ui-modal-install-pwa.js,1008,"window.addEventListener('load', registerOtthiGameUpdates, { once:true });"
03-ui-modal-install-pwa.js,1010,"window.addEventListener('offline', () => toast('Sem internet. O progresso continua salvo neste aparelho.','warn',3200), { passive:true });"
03-ui-modal-install-pwa.js,1011,"window.addEventListener('online', () => {"
03-ui-modal-install-pwa.js,1015,"window.addEventListener('pageshow', () => probeOtthiGameUpdate(false), { passive:true });"
03-ui-modal-install-pwa.js,1016,"document.addEventListener('visibilitychange', () => {"
03-ui-modal-install-pwa.js,1022,"$('[data-coherence-reload]',root).onclick=()=>reloadForOtthiUpdate(`coherence-${Date.now()}`);"
04-education-daily-quiz.js,1112,"root.onclick=e=>{const tabBtn=e.target.closest('[data-edu-tab]'),playBtn=e.target.closest('[data-edu-play]'),startBtn=e.target.closest('[data-academy-start]'),claimBtn=e.target.closest('[data-daily-claim]'),onlineBtn=e.target.closest('[data-open-online]');if(tabBtn){openEducationHub(tabBtn.dataset.eduTab);return;}if(startBtn){startSoloEducationGame(startBtn.dataset.academyStart,1);return;}if(playBtn){startSoloEducationGame(playBtn.dataset.eduPlay,Number(playBtn.dataset.eduLevel));return;}if(claimBtn){claimDailyQuest(Number(claimBtn.dataset.dailyClaim));return;}if(onlineBtn){openSocialHub();}};"
04-education-daily-quiz.js,1123,"if(q.autoSpeak)setTimeout(()=>speakKidWord(q.speak),180);$('[data-edu-speak]',root)?.addEventListener('click',()=>speakKidWord(q.speak));"
04-education-daily-quiz.js,1125,"$$('[data-edu-answer]',root).forEach(btn=>btn.onclick=()=>resolveAnswer(btn.dataset.eduAnswer,btn));"
04-education-daily-quiz.js,1126,"$$('[data-sequence-token]',root).forEach(btn=>btn.onclick=()=>{if(locked||btn.disabled)return;sequence.push(q.tokens[Number(btn.dataset.sequenceToken)]);btn.disabled=true;$('#sequenceBuilt',root).textContent=sequence.join('');});"
04-education-daily-quiz.js,1127,"$('[data-sequence-clear]',root)?.addEventListener('click',()=>{sequence=[];render();});$('[data-sequence-check]',root)?.addEventListener('click',()=>resolveAnswer(sequence.join(''),$('[data-sequence-check]',root)));"
04-education-daily-quiz.js,1132,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.subject]||0)+result.score*10;if(passed){state.learning.crowns+=(old.completed?0:1);if(result.score===result.total)state.learning.perfectLessons++;const coins=30+stars*18;addCoins(coins);addXP(25+stars*"
05-avatar-life-customization.js,1188,"$$('[data-avatar-type]', root).forEach(btn => btn.onclick = () => {"
05-avatar-life-customization.js,1193,"$('[data-avatar-save]', root).onclick = () => { state.avatar=normalizeAvatarV2(state.avatar);setFlag('customizedAvatar'); saveState(true); closeModal(); toast(`Visual de ${playerDisplayName()} salvo!`, 'good'); };"
05-avatar-life-customization.js,1201,"$('[data-life-avatar]', root).onclick = openAvatarStudio;"
05-avatar-life-customization.js,1202,"$('[data-life-jobs]', root).onclick = openJobCenter;"
05-avatar-life-customization.js,1203,"$('[data-life-adventures]', root).onclick = openAdventureHub;"
05-avatar-life-customization.js,1204,"$('[data-life-transit]', root).onclick = openTransitGuide;"
05-avatar-life-customization.js,1205,"const cancel=$('[data-life-cancel-companions]',root);if(cancel)cancel.onclick=()=>{for(const npc of world.npcs||[]){npc.following=false;npc.pendingRide=false;npc.passengerMode=null;if(npc.group)npc.group.visible=true;}closeModal();toast('Passeio encerrado com segurança.','good');};"
06-missions-profile-hud-inventory-tools.js,1374,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
06-missions-profile-hud-inventory-tools.js,1386,"openModal(required?'Escolha seu nome de jogador':'Nome do jogador',`<div class=""player-name-modal""><div class=""player-name-icon"">👤</div><p>${required?'Antes de entrar, escolha o nome que aparecerá para os outros jogadores.':'Este nome aparece sobre seu personagem no multiplayer.'}</p><label class=""field""><span>Nome público</span><input id=""playerNameInput"" maxlength=""18"" autocomplete=""nickname"" inputmode=""text"" value=""${current.replace(/""/g,'&quot;')}"" placeholder=""Ex.: Thiago""></label><small>De 3 a 18 caracteres. Não use telefone, endereço ou informação pessoal sensível.</small><button class=""btn primary xl"" data-save-player-name>Salvar nome</button></div>`,root=>{const input=$('#playerName"
