type,module,sourceLine,snippet
if,00-runtime-foundation.js,22,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
if,00-runtime-foundation.js,25,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,25,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
if,00-runtime-foundation.js,26,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,26,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
catch,00-runtime-foundation.js,30,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
catch,00-runtime-foundation.js,31,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
catch,00-runtime-foundation.js,32,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
if,00a-visual-foundation-avatar-v2.js,163,"if(!Object.prototype.hasOwnProperty.call(OTTHI_AVATAR_LEGACY_CHOICES,type))return current;"
if,00a-visual-foundation-avatar-v2.js,167,if(type==='outfit')next.torso=`legacy-outfit-${selected}`;
if,00a-visual-foundation-avatar-v2.js,168,if(type==='accessory')next.back=selected==='backpack'?'legacy-backpack':'none';
if,00a-visual-foundation-avatar-v2.js,194,if(!key)return null;
for,00a-visual-foundation-avatar-v2.js,207,for(const record of records){
if,00a-visual-foundation-avatar-v2.js,218,if(!highObject)return null;
if,00a-visual-foundation-avatar-v2.js,220,if(!Three?.LOD||!lowObject){
for,00a-visual-foundation-avatar-v2.js,241,for(const record of visualFoundation.lods){
if,00a-visual-foundation-avatar-v2.js,243,"if(level)level.distance=Math.max(8,record.baseDistance*profile.lodDistanceScale);"
if,00a-visual-foundation-avatar-v2.js,248,if(!activeCamera)return;
for,00a-visual-foundation-avatar-v2.js,249,for(const record of visualFoundation.lods){
catch,00a-visual-foundation-avatar-v2.js,253,}catch(error){
while,00a-visual-foundation-avatar-v2.js,260,while(owner){
if,00a-visual-foundation-avatar-v2.js,261,if(owner===playerGroup||owner===playerModel||owner===vehicleVisual||owner.userData?.alwaysOutline===true)return true;
if,00a-visual-foundation-avatar-v2.js,267,if(!world?.outlines||!camera)return;
for,00a-visual-foundation-avatar-v2.js,271,for(const line of world.outlines){
if,00a-visual-foundation-avatar-v2.js,272,if(!line?.parent)continue;
if,00a-visual-foundation-avatar-v2.js,274,if(keep){
if,00a-visual-foundation-avatar-v2.js,282,if(show)visible++;else hidden++;
else,00a-visual-foundation-avatar-v2.js,282,if(show)visible++;else hidden++;
for,00a-visual-foundation-avatar-v2.js,289,for(const record of visualFoundation.lods){
if,00a-visual-foundation-avatar-v2.js,290,if(record.currentLevel>0)lodLevels.far++;else lodLevels.near++;
else,00a-visual-foundation-avatar-v2.js,290,if(record.currentLevel>0)lodLevels.far++;else lodLevels.near++;
if,00a-visual-foundation-avatar-v2.js,315,if(!root||!bodyRoot||!parts)return null;
if,00a-visual-foundation-avatar-v2.js,318,if(parts.body)parts.body.name='TORSO';
if,00a-visual-foundation-avatar-v2.js,319,if(parts.head)parts.head.name='HEAD';
if,00a-visual-foundation-avatar-v2.js,320,if(parts.leftArm)parts.leftArm.name='ARM_LEFT';
if,00a-visual-foundation-avatar-v2.js,321,if(parts.rightArm)parts.rightArm.name='ARM_RIGHT';
if,00a-visual-foundation-avatar-v2.js,322,if(parts.leftLeg)parts.leftLeg.name='LEG_LEFT';
if,00a-visual-foundation-avatar-v2.js,323,if(parts.rightLeg)parts.rightLeg.name='LEG_RIGHT';
for,01-build-persistence.js,372,"for(let i=0;i<source.length;i++){hash^=source.charCodeAt(i);hash=Math.imul(hash,16777619);}"
if,01-build-persistence.js,376,if(!item||typeof item!=='object')return null;
if,01-build-persistence.js,378,if(!type||!Number.isFinite(x)||!Number.isFinite(z))return null;
if,01-build-persistence.js,385,"const record=normalizeBuildRecord(item,index);if(!record)return;"
if,01-build-persistence.js,387,"if(!previous||Number(record.updatedAt||record.createdAt||0)>=Number(previous.updatedAt||previous.createdAt||0))byId.set(record.id,record);"
if,01-build-persistence.js,394,if(!item)return;const id=String(typeof item==='string'?item:item.id||'').trim();if(!id)return;
if,01-build-persistence.js,396,"const previous=byId.get(id);if(!previous||removedAt>=previous.removedAt)byId.set(id,{id,removedAt});"
if,01-build-persistence.js,411,"if(!item||typeof item!=='object')return;const id=String(item.id||`entity-${index}-${Number(item.createdAt||0)}`),stamp=Number(item.updatedAt||item.createdAt||0),previous=byId.get(id);"
if,01-build-persistence.js,412,"if(!previous||stamp>=Number(previous.updatedAt||previous.createdAt||0))byId.set(id,{...item,id});"
if,02-state-save-cloud-account.js,494,if (oldFriendship.otto !== undefined && oldFriendship.nino === undefined) friendship.nino = oldFriendship.otto;
if,02-state-save-cloud-account.js,497,if (flags.talkedOtto && !flags.talkedNeighbor) flags.talkedNeighbor = true;
if,02-state-save-cloud-account.js,555,if (!raw) {
for,02-state-save-cloud-account.js,556,for (const key of LEGACY_STORAGE_KEYS) {
if,02-state-save-cloud-account.js,558,if (raw) break;
if,02-state-save-cloud-account.js,561,if (!raw) return fresh;
catch,02-state-save-cloud-account.js,564,} catch (error) {
if,02-state-save-cloud-account.js,571,if(state.career?.activeJob){const legacyJob=state.career.activeJob;legacyJob.instanceId=legacyJob.instanceId||`legacy-${legacyJob.id||'job'}-${Number(legacyJob.startedAt||Date.now())}`;legacyJob.missionState=legacyJob.missionState||'TRAVELLING';legacyJob.rewardClaimed=!!legacyJob.rewardClaimed;legacyJob.previousUniform=legacyJob.previousUniform||'none';legacyJob.previousPackage=Number(legacyJob.previousPackage||0);}
if,02-state-save-cloud-account.js,573,if(accountSession){
if,02-state-save-cloud-account.js,576,if(!state.profile.nameConfirmed){
if,02-state-save-cloud-account.js,578,if(legacyName&&legacyName.toLowerCase()!=='otthos'){state.profile.name=legacyName;state.profile.nameConfirmed=true;}
else,02-state-save-cloud-account.js,579,else{state.profile.name='';state.profile.nameConfirmed=false;}
if,02-state-save-cloud-account.js,583,if (window.OTTHOS_DB) {
if,02-state-save-cloud-account.js,585,if (saved && saved.profile) {
if,02-state-save-cloud-account.js,587,"if(accountSession)state.account={...(state.account||{}),linked:true,accountId:accountSession.accountId,username:accountSession.username||state.account?.username||''};"
else,02-state-save-cloud-account.js,589,} else {
catch,02-state-save-cloud-account.js,590,window.OTTHOS_DB.save(state).catch(console.warn);
catch,02-state-save-cloud-account.js,595,"}).catch(error => { console.warn('IndexedDB indisponível; usando armazenamento local.', error); return state; });"
catch,02-state-save-cloud-account.js,596,window.OTTHOS_DB.requestPersistentStorage().catch(() => false);
catch,02-state-save-cloud-account.js,608,? lastSavePromise.catch(()=>true).then(()=>window.OTTHOS_DB.save(snapshot)).catch(error => {
if,02-state-save-cloud-account.js,620,if (immediate) return commitState();
if,02-state-save-cloud-account.js,635,if(!hasValidPlayerName())return false;
if,02-state-save-cloud-account.js,639,if(!remote||typeof remote!=='object')return false;
if,02-state-save-cloud-account.js,641,if(remoteSaved<=localSaved+2500){syncCloudProgress(true);return false;}
if,02-state-save-cloud-account.js,656,"safeLocalSet(STORAGE_KEY,JSON.stringify(state));window.OTTHOS_DB?.save?.(state).catch(()=>{});if(worldGroup&&world?.builds)reconcileWorldBuilds();updatePlayerNameUI();updateHUD();updateLobbyStats();toast('Progresso recuperado do Firebase sem apagar construções locais.','good',2300);return true;"
catch,02-state-save-cloud-account.js,656,"safeLocalSet(STORAGE_KEY,JSON.stringify(state));window.OTTHOS_DB?.save?.(state).catch(()=>{});if(worldGroup&&world?.builds)reconcileWorldBuilds();updatePlayerNameUI();updateHUD();updateLobbyStats();toast('Progresso recuperado do Firebase sem apagar construções locais.','good',2300);return true;"
if,02-state-save-cloud-account.js,664,if(window.OTTHOS_RTDB)return window.OTTHOS_RTDB;
if,02-state-save-cloud-account.js,667,"const finish=value=>{if(done)return;done=true;clearTimeout(timer);window.removeEventListener('otthos:rtdb-ready',ready);resolve(value);};"
if,02-state-save-cloud-account.js,674,"if(!backend?.configured)return{ok:false,error:'A nuvem do jogo ainda não está configurada.'};"
if,02-state-save-cloud-account.js,675,"if(backend.connected?.())return{ok:true,backend};"
if,02-state-save-cloud-account.js,681,if(!accountLinked()||accountSyncing)return false;
if,02-state-save-cloud-account.js,683,if(!accountLinked()||accountSyncing)return false;
if,02-state-save-cloud-account.js,684,const connection=await ensureAccountConnection();if(!connection.ok)return false;
if,02-state-save-cloud-account.js,686,if(!cloudAccount||cloudAccount.anonymous||cloudAccount.username!==accountSession.username)return false;
if,02-state-save-cloud-account.js,693,if(result?.ok)state.account.lastCloudSync=Date.now();
catch,02-state-save-cloud-account.js,695,"}catch(error){console.warn('Conta do jogo:',error);return false}"
if,02-state-save-cloud-account.js,698,if(force)return run();
if,02-state-save-cloud-account.js,702,if(!window.OTTHOS_ACCOUNT)throw new Error('Proteção de conta indisponível neste navegador.');
if,02-state-save-cloud-account.js,703,const cleanName=sanitizePlayerName(displayName);if(cleanName.length<3)throw new Error('Escolha um nome de jogador com pelo menos 3 caracteres.');
if,02-state-save-cloud-account.js,705,if(!connection.ok)throw new Error(connection.error);
if,02-state-save-cloud-account.js,707,if(!authResult?.ok)throw new Error(authResult?.error||'Não foi possível criar a conta protegida.');
if,02-state-save-cloud-account.js,710,"await commitState();const saved=await syncGameAccount(true);if(!saved)throw new Error('A conta foi criada, mas a primeira cópia online não terminou. Tente sincronizar novamente.');"
if,02-state-save-cloud-account.js,714,if(!window.OTTHOS_ACCOUNT)throw new Error('Proteção de conta indisponível neste navegador.');
if,02-state-save-cloud-account.js,719,if(!connection.ok)throw new Error(connection.error);
if,02-state-save-cloud-account.js,721,if(!authResult?.ok)throw new Error(authResult?.error||'Nome ou senha incorretos.');
if,02-state-save-cloud-account.js,723,if(!result?.ok)throw new Error(result?.error||'Não foi possível consultar a conta.');
if,02-state-save-cloud-account.js,724,"if(!result.exists)throw new Error('A conta existe, mas ainda não possui uma cópia de progresso. Entre no aparelho onde ela foi criada e toque em “Sincronizar agora”.');"
if,02-state-save-cloud-account.js,737,"const result=await window.OTTHOS_RTDB?.signOutPlayerAccount?.(password);if(!result?.ok)return result||{ok:false,error:'Não foi possível confirmar a saída.'};"
if,02-state-save-cloud-account.js,746,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
else,02-state-save-cloud-account.js,746,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
catch,02-state-save-cloud-account.js,746,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
if,02-state-save-cloud-account.js,756,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
if,02-state-save-cloud-account.js,762,"const submit=async()=>{error.hidden=true;button.disabled=true;button.textContent='Confirmando...';const result=await unlinkGameAccount(input.value);if(!result?.ok){error.textContent=result?.error||'Senha incorreta.';error.hidden=false;button.disabled=false;button.textContent='Sair desta conta';input.select();return;}closeModal();toast('Conta desconectada. As restrições de segurança foram preservadas.','good',2800);};"
if,02-state-save-cloud-account.js,763,"button.onclick=submit;$('[data-account-logout-back]',root).onclick=()=>openAccountCenter(required,onReady);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();submit();}};setTimeout(()=>input.focus(),80);"
if,03-ui-modal-install-pwa.js,761,if (nextLevel > state.profile.level) {
if,03-ui-modal-install-pwa.js,778,if (state.medals.includes(name)) return;
if,03-ui-modal-install-pwa.js,784,if (state.flags[flag] === value) return;
if,03-ui-modal-install-pwa.js,802,if (state.settings.vibration && navigator.vibrate) navigator.vibrate(pattern);
if,03-ui-modal-install-pwa.js,805,if (!state.settings.sound) return;
if,03-ui-modal-install-pwa.js,808,if (!Ctx) return;
catch,03-ui-modal-install-pwa.js,816,} catch {}
if,03-ui-modal-install-pwa.js,821,if (els.quickBar) els.quickBar.hidden = true;
if,03-ui-modal-install-pwa.js,825,if (typeof player !== 'undefined' && player.vehicle) player.car.speed *= .7;
if,03-ui-modal-install-pwa.js,831,if (onReady) onReady(els.modalBody);
if,03-ui-modal-install-pwa.js,836,if (typeof fishingSession !== 'undefined' && fishingSession) cancelFishingSession();
if,03-ui-modal-install-pwa.js,837,else if (typeof fishingVisual !== 'undefined' && fishingVisual?.active) stopFishingVisual();
else,03-ui-modal-install-pwa.js,837,else if (typeof fishingVisual !== 'undefined' && fishingVisual?.active) stopFishingVisual();
if,03-ui-modal-install-pwa.js,846,if (resumePausedGame) {
if,03-ui-modal-install-pwa.js,849,if (running && player.vehicle) startEngineSound();
if,03-ui-modal-install-pwa.js,861,"els.modal.addEventListener('pointerdown', e => { if (e.target === els.modal) closeModal(); });"
if,03-ui-modal-install-pwa.js,871,if (els.installBtn) {
if,03-ui-modal-install-pwa.js,876,if (els.installHint) {
if,03-ui-modal-install-pwa.js,895,if (isStandalone()) { updateInstallUI(); return; }
if,03-ui-modal-install-pwa.js,896,if (deferredInstallPrompt) {
if,03-ui-modal-install-pwa.js,908,if (els.installBtn) els.installBtn.onclick = installApp;
catch,03-ui-modal-install-pwa.js,920,} catch {
catch,03-ui-modal-install-pwa.js,926,try { await saveState(true); } catch {}
catch,03-ui-modal-install-pwa.js,927,try { await lastSavePromise; } catch {}
if,03-ui-modal-install-pwa.js,931,if (otthiUpdateReloading) return false;
if,03-ui-modal-install-pwa.js,941,if (!isOfficialOtthiGameAddress() || !navigator.onLine || otthiUpdateReloading) return false;
if,03-ui-modal-install-pwa.js,943,if (!force && now - otthiLastUpdateCheck < OTTHI_UPDATE_INTERVAL_MS) return false;
if,03-ui-modal-install-pwa.js,949,if (!response.ok) throw new Error(`HTTP ${response.status}`);
if,03-ui-modal-install-pwa.js,953,if ((remoteBuild && remoteBuild !== OTTHI_GAME_WEB_BUILD)
if,03-ui-modal-install-pwa.js,955,if (!otthiServiceWorkerRegistration) {
catch,03-ui-modal-install-pwa.js,958,await otthiServiceWorkerRegistration?.update?.().catch(() => {});
if,03-ui-modal-install-pwa.js,959,if (otthiServiceWorkerRegistration?.waiting) {
catch,03-ui-modal-install-pwa.js,965,} catch (error) {
if,03-ui-modal-install-pwa.js,972,if (!('serviceWorker' in navigator) || !isOfficialOtthiGameAddress()) return;
if,03-ui-modal-install-pwa.js,976,if (controllerHandled) return;
if,03-ui-modal-install-pwa.js,978,if (hadController) reloadForOtthiUpdate(`sw-${OTTHI_GAME_WEB_BUILD}`);
if,03-ui-modal-install-pwa.js,986,if (registration.waiting) registration.waiting.postMessage({ type:'SKIP_WAITING' });
if,03-ui-modal-install-pwa.js,989,if (!worker) return;
if,03-ui-modal-install-pwa.js,991,if (worker.state === 'installed' && navigator.serviceWorker.controller) {
catch,03-ui-modal-install-pwa.js,996,await registration.update().catch(() => {});
catch,03-ui-modal-install-pwa.js,999,registration.update().catch(() => {});
catch,03-ui-modal-install-pwa.js,1002,} catch (error) {
if,03-ui-modal-install-pwa.js,1007,if ('serviceWorker' in navigator) {
if,03-ui-modal-install-pwa.js,1017,if (!document.hidden) probeOtthiGameUpdate(false);
if,03-ui-modal-install-pwa.js,1020,if (!window.OTTHI_RELEASE_COHERENT) {
if,03-ui-modal-install-pwa.js,1024,} else if (!navigator.onLine) {
else,03-ui-modal-install-pwa.js,1024,} else if (!navigator.onLine) {
if,04-education-daily-quiz.js,1044,"function daysBetween(a,b){if(!a||!b)return 99;return Math.round((new Date(`${b}T12:00:00`)-new Date(`${a}T12:00:00`))/86400000)}"
